PUBLICATION,GAME
Giant Bomb,Outer Wilds
Destructoid,The Outer Worlds
Easy Allies,Sekiro: Shadows Die Twice
Edge,Outer Wilds
Famitsu,Pokemon Sword and Shield
GameSpot,Sekiro: Shadows Die Twice
IGN,Control
Golden Joystick Awards,Resident Evil 2 (2019)
Game Developers Choice Awards,Untitled Goose Game
Game Awards,Sekiro: Shadows Die Twice
D.I.C.E. Awards,Untitled Goose Game
BAFTA,Outer Wilds
GamesRadar+,Control
